session_id,mac_hash,gw_id,ts_begin,ts_end,incoming,outgoing,latitude_begin,longitude_begin,latitude_end,longitude_end,duration
5c653476a7f5a6640216b049341df211c393dab3,3041c3c71819ac591aae58e06169eb240b3df5ac,2054,2017-09-01T23:59:06.000Z,2017-09-02T00:09:07.000Z,0,0,1.29095,103.7811,1.294717,103.77485,10
f35cc3552ec27fbef1bf021df4bcb03d49f1a28d,0da4f40ce22a75a9116a40c5d33b53ebb2507a87,2032,2017-09-01T23:59:19.000Z,2017-09-02T00:09:22.000Z,0,0,1.29375,103.7756,1.291767,103.78053,3
e706c5309fe20879e25bf2aa74c88210e90787d0,b4d7cb564a10ef5d9506d7ec61111dc2ff2e7208,2033,2017-09-01T23:59:20.000Z,2017-09-02T00:08:57.000Z,0,0,1.291883,103.78056,1.291917,103.78062,577
c866eb76873eb656eb05519e0a6a8fe9408f3207,3d67bcdd3d41d6a6ab81f70b99a20c45b5bb42c1,2068,2017-09-02T00:00:38.000Z,2017-09-02T00:10:43.000Z,0,0,1.298183,103.77686,1.29215,103.78418,5
f8bd17e256c8f8fec1012a005c340bbee0ffd5d8,b7512797eceaba55f76f7e4d73578348f71d445d,2033,2017-09-02T00:00:08.000Z,2017-09-02T00:08:57.000Z,0,0,1.2919,103.78059,1.291917,103.78062,529
2134fd5d5b1c6c70f8178c7df0422b09751f60ba,b1cecfb6c991cb6d0b81723c8f199aecdcfe445f,2047,2017-09-02T00:02:02.000Z,2017-09-02T00:12:02.000Z,0,0,1.2928,103.77914,1.301867,103.77427,null
c774bbb8d33df9195387baaf8ac1d73707cf38ad,b7512797eceaba55f76f7e4d73578348f71d445d,2047,2017-09-02T00:02:25.000Z,2017-09-02T00:12:42.000Z,0,0,1.291817,103.78042,1.299117,103.7749,17
97ebc939d3e24995fb5d8bce05b6d5d0697e07fb,15b0e0fc4397aa540f3350e166c0dd0ee3b39082,2068,2017-09-02T00:03:45.000Z,2017-09-02T00:13:47.000Z,0,0,1.303567,103.77448,1.294,103.77518,79
6ecf55cc88c3e27ff7b00cd6613b07885b3c1c75,8d2ce71a9d0764a777dde6a990d92237d2e76d6c,2047,2017-09-02T00:03:45.000Z,2017-09-02T00:13:46.000Z,0,0,1.2919,103.78388,1.297583,103.77783,104
364e7f3f5784953605de811b03433027023451e2,7852e1d676987ce020f33008314e82180858a17d,2055,2017-09-02T00:04:36.000Z,2017-09-02T00:14:37.000Z,0,0,1.298833,103.7741,1.294633,103.7706,10
cd88d8515e1ba48df77b46fffebfae275d6b9cd5,e939a68e7a3806ecc2c0c1d48176bd980855b7bc,2068,2017-09-02T00:04:42.000Z,2017-09-02T00:14:44.000Z,0,0,1.30335,103.7742,1.294583,103.7749,21
a459f2c6a4865dc1706e6dffdfba27529351035c,e939a68e7a3806ecc2c0c1d48176bd980855b7bc,2055,2017-09-02T00:05:50.000Z,2017-09-02T00:18:35.000Z,0,0,1.302733,103.77393,1.295117,103.77483,168
e047ba75ba4c1619f2fabcae738b2c1042e7645c,056095a9d15431fe94a4753905582934cd9ba53e,2047,2017-09-02T00:05:34.000Z,2017-09-02T00:15:36.000Z,0,0,1.295167,103.7842,1.295067,103.78447,12
40274ccf8f35f4dcf9f46c78eda05a00b0d099bd,84799b18ac131dc6977ac56f058281faefd2b43b,2047,2017-09-02T00:05:48.000Z,2017-09-02T00:15:50.000Z,0,0,1.296267,103.7835,1.294883,103.7846,97
e41bfac6cbe1a732000460a4195e4d1d3ca52b93,84799b18ac131dc6977ac56f058281faefd2b43b,2068,2017-09-02T00:06:59.000Z,2017-09-02T00:17:01.000Z,0,0,1.2975,103.77803,1.294583,103.7749,10
ff19b115ecf955f5f7afc806868ff4765849a224,5f7f9c527c5e106e5c0e46c43b3e3c9a3753b555,2047,2017-09-02T00:06:29.000Z,2017-09-02T00:16:33.000Z,0,0,1.2974,103.78112,1.293367,103.78515,64
ae8a505378e9b11099f2a699eeb65d07af02e75c,15b0e0fc4397aa540f3350e166c0dd0ee3b39082,2055,2017-09-02T00:06:12.000Z,2017-09-02T00:16:13.000Z,0,0,1.303367,103.77425,1.29225,103.7745,95
b73efc81b61f1d0b0e296e69cb06d18ea2edb13f,b0f1a59cea90f8984c4bf69e9d15bf8b94503015,2068,2017-09-02T00:06:33.000Z,2017-09-02T00:16:35.000Z,0,0,1.298717,103.77647,1.294583,103.7749,105
6aa9f8e449e88a71a88a17039248f2f3a1bca097,8c67a653b02687378a46f3ee35c2aaefbc0ba743,2038,2017-09-02T00:07:15.000Z,2017-09-02T00:27:09.000Z,0,0,1.292033,103.78017,1.291983,103.7803,605
c490e60f2f791848324d9daa02fd7d85a3c30754,ba4e95b114bc9f70c9ae7ca9bddda3bad4592a19,2055,2017-09-02T00:07:11.000Z,2017-09-02T00:17:23.000Z,0,0,1.303617,103.77545,1.294017,103.7752,12
de7e1dfe4e603fa8ef2b7347f6721f9d779cf63d,056095a9d15431fe94a4753905582934cd9ba53e,2068,2017-09-02T00:08:57.000Z,2017-09-02T00:18:58.000Z,0,0,1.295733,103.78398,1.294583,103.7749,66
632de6ee6c34ac22ed278141b3a583f76abbb43c,9d42636abedbdd54db68ed4256adfd2b265b13bc,2074,2017-09-02T00:09:21.000Z,2017-09-02T00:19:22.000Z,0,0,1.2919,103.78036,1.292267,103.77393,126
89f8d02a0725dc1383c71f29a24b2457cd81d1a1,e939a68e7a3806ecc2c0c1d48176bd980855b7bc,2047,2017-09-02T00:09:22.000Z,2017-09-02T00:24:24.000Z,0,0,1.301083,103.77368,1.2946,103.77492,398
4d446f4b02b6a292ba6ab1ad15c4ebb976f5fe07,755340ceb50d03494ffcac42be24ccaa655644ec,2047,2017-09-02T00:10:28.000Z,2017-09-02T00:21:50.000Z,0,0,1.3035,103.77438,1.2946,103.77486,127
9fa7d4528a213a0ab49f0c5ece3d567795c94bfe,c0c022e986dadf8646adefbfbf388aa4b304e04f,2047,2017-09-02T00:10:52.000Z,2017-09-02T00:20:54.000Z,0,0,1.303617,103.7746,1.2943,103.77503,25
1b70fd9de73553dc037963ffc366c5b49d76314a,01099b1ae1e2e7015d4adf854670e96956350e0a,2038,2017-09-02T00:10:09.000Z,2017-09-02T00:20:13.000Z,0,0,1.293733,103.77635,1.2975,103.77798,64
1b96b81376427c2675cde6f15aef005562c93730,15b0e0fc4397aa540f3350e166c0dd0ee3b39082,2047,2017-09-02T00:10:32.000Z,2017-09-02T00:20:33.000Z,0,0,1.303583,103.7745,1.29395,103.77517,45
